id,name,type,size,gender,age,colors_primary,colors_secondary,breeds
69761930,Juniper,Dog,Large,Female,Adult,Black,White / Cream,Black Labrador Retriever
69761928,Yoshi,Dog,Medium,Male,Young,Brindle,null,Plott Hound
69761926,Hailey,Dog,Small,Female,Adult,White / Cream,null,Bichon Frise
69761922,Hendrix,Dog,Large,Male,Adult,Black,White / Cream,Hound
69761920,Rosie ,Dog,Large,Female,Adult,Brindle,null,Pit Bull Terrier
69761915,T-Bone,Dog,Medium,Male,Adult,Yellow / Tan / Blond / Fawn,null,American Bully
69761914,Gracie,Dog,Large,Female,Adult,Black,White / Cream,Mixed Breed
69761912,Bruce,Dog,Large,Male,Adult,Tricolor (Brown/ Black/ & White),null,Husky
69761909,Baxter,Dog,Large,Male,Senior,Brindle,White / Cream,American Bulldog
69761898,Benny,Dog,Small,Male,Senior,Yellow / Tan / Blond / Fawn,White / Cream,Beagle
69761891,Lucky,Dog,Large,Male,Young,Brindle,White / Cream,Pit Bull Terrier
69761889,Winston,Dog,Medium,Male,Baby,White / Cream,Black,Dachshund
69761884,Harley,Dog,Medium,Female,Adult,null,null,Mixed Breed
69761886,Konan,Dog,Medium,Male,Adult,null,null,Mixed Breed
69761881,Jasper,Dog,Large,Male,Adult,Brown / Chocolate,Yellow / Tan / Blond / Fawn,Shepherd
69761872,Cherry,Dog,Medium,Female,Senior,Red / Chestnut / Orange,White / Cream,Mixed Breed
69761871,Maggie,Dog,Large,Female,Adult,Black,Yellow / Tan / Blond / Fawn,German Shepherd Dog
69761870,Charles,Dog,Small,Male,Adult,Black,Red / Chestnut / Orange,Australian Terrier
69761846,Elliot,Dog,Large,Male,Young,Apricot / Beige,null,Black Mouth Cur
69761842,Lucky,Dog,Medium,Male,Baby,null,null,Dachshund
69761839,Spot,Dog,Medium,Male,Baby,White / Cream,null,Border Collie
69761830,Carlos,Dog,Small,Male,Adult,null,null,Chihuahua
69761829,Garth,Dog,Large,Male,Adult,null,null,Bluetick Coonhound
69761821,Tori,Dog,Medium,Female,Adult,Black,null,Labrador Retriever
69761804,Sid,Dog,Medium,Male,Baby,Black,White / Cream,Jack Russell Terrier
69761797,Mystery,Dog,Medium,Male,Young,White / Cream,Brown / Chocolate,Mixed Breed
69761798,Radar (ADOPTION FEE SPONSORED),Dog,Medium,Female,Young,White / Cream,null,Mixed Breed
69761791,Cody,Dog,Large,Male,Baby,null,null,Belgian Shepherd / Tervuren
69761789,Fred,Dog,Large,Male,Young,Black,null,American Staffordshire Terrier
69761783,Fanta,Dog,Medium,Female,Baby,null,null,Australian Cattle Dog / Blue Heeler
69761770,Habanero,Dog,Small,Male,Baby,Bicolor,null,Cattle Dog
69761472,Sally,Dog,Large,Female,Adult,Gray / Blue / Silver,White / Cream,American Staffordshire Terrier
69761753,Polly Sue,Dog,Medium,Female,Adult,Brown / Chocolate,White / Cream,Terrier
69761749,Sara,Dog,Medium,Female,Senior,null,null,German Shepherd Dog
69761728,FREDERICK,Dog,Small,Male,Young,null,null,Pit Bull Terrier
69761711,GRAVY,Dog,Medium,Male,Baby,null,null,Terrier
69761709,Winrock,Dog,Medium,Male,Adult,null,null,Hound
69761707,Cricket - Hopper,Dog,Small,Male,Baby,Apricot / Beige,null,Chihuahua
69761705,Cricket- Princess Atta,Dog,Small,Female,Baby,Black,null,Chihuahua
69761703,Cricket -- Flik,Dog,Small,Male,Baby,Brown / Chocolate,null,Chihuahua
69761702,Apollo Junior,Dog,Medium,Male,Baby,null,null,Boxer
69761701,Suzie,Dog,Medium,Female,Baby,Brown / Chocolate,null,Terrier
69761692,FENRIS,Dog,Medium,Female,Young,null,null,Mixed Breed
69761686,GUERA,Dog,Medium,Female,Young,null,null,Staffordshire Bull Terrier
69761687,CANELA,Dog,Medium,Female,Young,null,null,Staffordshire Bull Terrier
69761685,APRIL,Dog,Medium,Female,Young,null,null,Staffordshire Bull Terrier
69761654,Scottie,Dog,Medium,Male,Baby,null,null,Belgian Shepherd / Laekenois
69761674,AUBRY,Dog,Large,Female,Adult,null,null,Labrador Retriever
69761677,JACKIE,Dog,Medium,Female,Adult,null,null,Pit Bull Terrier
69761678,TUCKER,Dog,Large,Male,Adult,null,null,German Shepherd Dog
69761676,CHAI,Dog,Large,Female,Young,null,null,Siberian Husky
69761663,CHAN,Dog,Medium,Female,Young,null,null,Pit Bull Terrier
69761667,SAMUEL,Dog,Large,Male,Young,null,null,German Shepherd Dog
69761656,DAWSON,Dog,Large,Female,Adult,null,null,German Shepherd Dog
69761659,ADAMS,Dog,Medium,Male,Young,null,null,Siberian Husky
69761661,ZEFRON,Dog,Large,Male,Adult,null,null,German Shepherd Dog
69761662,AUTUMN,Dog,Medium,Female,Young,null,null,Labrador Retriever
69761608,COOKIE,Dog,Large,Female,Young,null,null,Shepherd
69761599,TITO,Dog,Small,Male,Adult,null,null,Chihuahua
69761592,COCO,Dog,Small,Female,Adult,null,null,Maltese
69761591,FORREST,Dog,Large,Male,Young,null,null,German Shepherd Dog
69761586,MARLEY,Dog,Medium,Male,Adult,null,null,Terrier
69761583,MAGNUS,Dog,Large,Male,Young,null,null,German Shepherd Dog
69761585,TRIGGER,Dog,Small,Male,Young,null,null,Cardigan Welsh Corgi
69761568,BRAVO,Dog,Medium,Male,Young,null,null,American Staffordshire Terrier
69761563,LUCKI,Dog,Medium,Female,Young,null,null,Mixed Breed
69761552,ELSA,Dog,Large,Female,Adult,null,null,Dogo Argentino
69761540,A529964,Dog,Small,Male,Young,null,null,Chihuahua
69761537,Wesson,Dog,Small,Male,Young,White / Cream,Golden,Terrier
69761519,BOO YA,Dog,Large,Male,Adult,null,null,Labrador Retriever
69761518,PINKY PIE,Dog,Medium,Female,Young,null,null,American Bulldog
69761516,LUNA,Dog,Medium,Female,Adult,null,null,German Shepherd Dog
69761494,Wesson,Dog,Small,Male,Young,White / Cream,Golden,Terrier
69761490,Zinnia,Dog,Medium,Female,Baby,Black,White / Cream,Labrador Retriever
69761478,Rio,Dog,Medium,Male,Adult,Black,null,Shepherd
69761477,Cairo,Dog,Medium,Male,Adult,Black,null,Black Labrador Retriever
69761471,Jarrett Waller,Dog,Medium,Male,Adult,Black,White / Cream,Labrador Retriever
69761460,Gino,Dog,Medium,Male,Baby,Black,null,Black Labrador Retriever
69761452,Josey,Dog,Medium,Female,Young,Bicolor,null,German Shorthaired Pointer
69761445,Nelly,Dog,Large,Female,Adult,Bicolor,Black,German Shepherd Dog
69761437,Ginger,Dog,Medium,Female,Adult,null,null,Siberian Husky
69761433,Ginger Waller,Dog,Medium,Female,Adult,Yellow / Tan / Blond / Fawn,White / Cream,Labrador Retriever
69761422,Nixa,Dog,Medium,Female,Adult,null,null,Mixed Breed
69761419,Fred,Dog,Medium,Male,Young,null,null,Pit Bull Terrier
69761396,Sketch,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Chow Chow
69761387,Police Academy - Mahooney,Dog,Medium,Male,Baby,null,null,Black Mouth Cur
69761399,Grateful Growlers - Danke,Dog,Large,Male,Baby,White / Cream,null,Labrador Retriever
69761394,Police Academy - Mrs. Frackler,Dog,Medium,Female,Baby,null,null,Black Mouth Cur
69761397,Mama Mandy Kay Pup - Mabel Kimberly,Dog,Large,Female,Baby,null,null,Labrador Retriever
69761403,Mama Mandy Kay Pup - Madison Kiara,Dog,Large,Female,Baby,null,null,Labrador Retriever
69761386,Grateful Growlers - Mahalo,Dog,Large,Female,Baby,White / Cream,null,Labrador Retriever
69761391,Grateful Growlers - Tak,Dog,Large,Female,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761408,Phoebe,Dog,Medium,Female,Baby,White / Cream,null,Labrador Retriever
69761414,Winter Wieners - Frankfurter,Dog,Small,Male,Baby,Brown / Chocolate,null,Chihuahua
69761400,Mama Mandy Kay Pup - Malcolm Kyle,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761411,Grateful Growlers - Hvala,Dog,Large,Female,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761390,Mama Mandy Kay Pup - Matthew Kade,Dog,Large,Male,Baby,null,null,Labrador Retriever
69761388,Mama Mandy Kay Pup - Malachi Keaton,Dog,Large,Male,Baby,Black,null,Labrador Retriever
69761389,Grateful Growlers - Merci,Dog,Large,Female,Baby,White / Cream,null,Labrador Retriever
69761393,Jerry,Dog,Medium,Female,Baby,null,null,Dutch Shepherd
69761404,Warmest Woofs - Cashmere,Dog,Large,Male,Baby,White / Cream,null,Labrador Retriever
69761407,Grateful Growlers - Bedankt,Dog,Large,Male,Baby,White / Cream,null,Labrador Retriever
69761392,Grateful Growlers - Muchas Gracias,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761395,Mama Mandy Kay Pup - Milo Kevin,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761405,Winter Wieners - Bratwurst,Dog,Small,Male,Baby,Brown / Chocolate,null,Chihuahua
69761401,Mama Mandy Kay Pup - Maya Katherine,Dog,Large,Female,Baby,null,null,Labrador Retriever
69761412,Grateful Growlers - Grazie,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Labrador Retriever
69761398,Police Academy - Hightower,Dog,Medium,Male,Baby,null,null,Black Mouth Cur
69761409,Sterling (SPAYED),Dog,Medium,Female,Adult,Gray / Blue / Silver,null,Australian Shepherd
69761396,Sketch,Dog,Large,Male,Baby,Tricolor (Brown/ Black/ & White),null,Chow Chow
69761383,*Bucky*,Dog,Large,Male,Adult,null,null,Labrador Retriever
69761362,Fletcher,Dog,Medium,Male,Senior,Brown / Chocolate,White / Cream,Terrier
69761372,Casper,Dog,Small,Male,Young,White / Cream,null,Labrador Retriever
69761368,Doug,Dog,Medium,Male,Adult,Gray / Blue / Silver,Yellow / Tan / Blond / Fawn,Dachshund
69761360,Luna 23251,Dog,Medium,Female,Adult,Black,White / Cream,Mixed Breed
69761355,Kona,Dog,Small,Male,Baby,Yellow / Tan / Blond / Fawn,Black,Black Mouth Cur
69761357,Cereal Litter - Kix,Dog,Small,Male,Baby,null,null,Mixed Breed
69761356,Clyde,Dog,Small,Male,Baby,null,null,Labrador Retriever
69761353,Peppermint,Dog,Small,Male,Baby,Red / Chestnut / Orange,White / Cream,Mixed Breed
69761335,Stitch,Dog,Large,Male,Young,Black,null,Labrador Retriever
69761333,JILL,Dog,Medium,Female,Young,Brindle,null,Mountain Cur
69761332,Zilla,Dog,Large,Female,Young,null,null,Mastiff
69761328,Cookie,Dog,Large,Female,Adult,White / Cream,Gray / Blue / Silver,Pit Bull Terrier
69761309,Peter,Dog,Medium,Male,Baby,null,null,Cattle Dog
69761311,Argenti,Dog,Large,Female,Baby,Golden,null,Golden Retriever
69761308,Brownie,Dog,Small,Female,Young,Brown / Chocolate,Black,Chihuahua
69761297,Louis,Dog,Large,Male,Senior,Brown / Chocolate,Black,Hound
69761300,18411,Dog,Medium,Female,Adult,Yellow / Tan / Blond / Fawn,null,Poodle
69761295,Delilah,Dog,Medium,Female,Baby,Apricot / Beige,null,Terrier
69682224,Bindi,Dog,Medium,Female,Young,Merle (Blue),White / Cream,Australian Shepherd
69761293,Hazel,Dog,Large,Female,Adult,White / Cream,Red / Chestnut / Orange,Hound
69761291,Bella,Dog,Large,Female,Young,Gray / Blue / Silver,White / Cream,Pit Bull Terrier
69761290,Bo,Dog,Large,Male,Young,null,null,Cane Corso
69761286,Haven,Dog,Medium,Female,Adult,null,null,Pit Bull Terrier
69761289,Darth Vader,Dog,Medium,Male,Adult,null,null,Cattle Dog
69761288,Spock,Dog,Large,Male,Adult,null,null,Mixed Breed
69761278,Hercules ,Dog,Large,Male,Adult,Brindle,null,Boxer
69761280,Norman,Dog,Medium,Male,Baby,null,null,Pit Bull Terrier
69761271,Nash Channelview,Dog,Large,Male,Adult,Yellow / Tan / Blond / Fawn,Black,German Shepherd Dog
69761266,Sally Gail,Dog,Small,Female,Young,Sable,null,Chihuahua
69761265,Pumpkin,Dog,Medium,Female,Baby,White / Cream,Brindle,Terrier
69761262,FOXY,Dog,Medium,Female,Adult,Black,White / Cream,Boxer
69761258,Duke,Dog,Large,Male,Adult,null,null,Labrador Retriever
69761256,Butterbean ,Dog,Large,Male,Adult,Apricot / Beige,null,American Bulldog
69761243,Dymond,Dog,Medium,Female,Young,Black,Yellow / Tan / Blond / Fawn,American Bulldog
69761242,Caesar,Dog,Large,Male,Senior,Black,White / Cream,Pit Bull Terrier
69761244,Brad Pitt,Dog,Medium,Male,Young,White / Cream,Brown / Chocolate,American Bulldog
69761236,Missy,Dog,Small,Female,Baby,Black,null,Mixed Breed
69761237,King,Dog,Small,Male,Baby,Brindle,null,Mixed Breed
69761233,Zelda,Dog,Small,Female,Baby,Brindle,null,Mixed Breed
69761234,Star,Dog,Medium,Female,Young,Black,White / Cream,Mixed Breed
69761235,Will,Dog,Medium,Male,Young,Black,Yellow / Tan / Blond / Fawn,Mixed Breed
69761225,Iluna,Dog,Large,Female,Young,null,null,Pit Bull Terrier
69761230,Oslo,Dog,Medium,Male,Young,Black,null,Mixed Breed
69761231,Rosco,Dog,Medium,Male,Adult,Brindle,White / Cream,Mixed Breed
69761221,Lilo,Dog,Large,Female,Young,Black,null,Labrador Retriever
69761220,Chiquita aka Winifred,Dog,Medium,Female,Adult,Brown / Chocolate,null,Chihuahua
69761216,Jessie,Dog,Small,Female,Adult,White / Cream,null,Chihuahua
69761215,Rey,Dog,Large,Female,Adult,Yellow / Tan / Blond / Fawn,null,Boxer
69761168,S'mores,Dog,Medium,Female,Adult,White / Cream,Black,Sheepadoodle
69761164,Gary,Dog,Large,Male,Baby,null,null,Akbash
69761163,Sarina,Dog,Large,Female,Adult,null,null,German Shepherd Dog
69761158,Peter,Dog,Large,Male,Adult,null,null,Greyhound
69761155,Precious- Call 402-441-4490 To Meet,Dog,Medium,Female,Young,null,null,American Bulldog
69761154,Puppy,Dog,Medium,Female,Adult,Black,null,Black Labrador Retriever
69761144,HOMER ,Dog,Medium,Male,Adult,Black,White / Cream,Hound
69761100,Mateo,Dog,Large,Male,Adult,Yellow / Tan / Blond / Fawn,null,Greyhound
69761098,Tarzan,Dog,Large,Male,Senior,Yellow / Tan / Blond / Fawn,Black,Black Mouth Cur
69761096,Ocean,Dog,Medium,Male,Young,Brown / Chocolate,White / Cream,Australian Cattle Dog / Blue Heeler
69761093,Porscha,Dog,Medium,Female,Adult,Black,White / Cream,Border Collie
69761095,Wishbone,Dog,Medium,Male,Adult,Black,White / Cream,Australian Shepherd
69761094,Pilgrim,Dog,Medium,Male,Adult,Black,White / Cream,Australian Shepherd
69761055,Twinkie,Dog,Medium,Female,Baby,Brown / Chocolate,null,Terrier
69761053,Pumpkin ,Dog,Medium,Male,Baby,Merle (Red),null,Boxer
69761054,Dolly,Dog,Small,Female,Baby,Yellow / Tan / Blond / Fawn,White / Cream,Chihuahua
69761052,Max,Dog,Medium,Male,Adult,White / Cream,Red / Chestnut / Orange,Dachshund
69685873,Crockpot,Dog,Medium,Female,Young,Gray / Blue / Silver,null,Mixed Breed
69761037,Belle,Dog,Medium,Female,Adult,Gray / Blue / Silver,null,Pit Bull Terrier
69761036,Bailey,Dog,Medium,Female,Adult,Yellow / Tan / Blond / Fawn,White / Cream,American Staffordshire Terrier
69761024,Lilac,Dog,Large,Female,Senior,Gray / Blue / Silver,null,Mixed Breed
69761020,Moe,Dog,Medium,Male,Senior,null,null,Mixed Breed
69761016,SAMANTHA ,Dog,Medium,Male,Baby,Tricolor (Brown/ Black/ & White),null,Hound
69761014,Yorba (PUPPY),Dog,Large,Female,Baby,Brown / Chocolate,Black,German Shepherd Dog
69761013,Marcus,Dog,Large,Male,Adult,null,null,American Bulldog
69761006,Reagan,Dog,Medium,Female,Baby,Tricolor (Brown/ Black/ & White),null,Border Collie
69761005,Lush,Dog,Large,Female,Adult,null,null,Pit Bull Terrier
69761004,Ruger,Dog,Large,Male,Young,null,null,Mastiff
69760999,Bella Rose,Dog,Large,Female,Young,null,null,Pit Bull Terrier
69760997,Bulls Eye,Dog,Large,Male,Adult,null,null,Labrador Retriever
69760993,Scarecrow,Dog,Medium,Male,Baby,null,null,Pit Bull Terrier
69760981,Beth,Dog,Medium,Female,Baby,null,null,Shepherd
69760971,Angus,Dog,Medium,Male,Baby,null,null,Hound
69760974,Theo,Dog,Medium,Male,Baby,null,null,American Staffordshire Terrier
69760963,Stella,Dog,Medium,Female,Adult,null,null,Retriever
69760965,Doja,Dog,Large,Female,Adult,null,null,American Staffordshire Terrier
69760969,Mercury,Dog,Medium,Male,Baby,null,null,Retriever
69760959,Frank,Dog,Medium,Male,Adult,null,null,American Bulldog
69760960,Levi,Dog,Large,Male,Young,null,null,Boxer
69760939,Rico,Dog,Small,Male,Young,null,null,Terrier
69760932,Boss,Dog,Large,Male,Adult,null,null,American Bulldog
69760931,Icee,Dog,Medium,Female,Adult,null,null,Pit Bull Terrier
69760926,Neptune,Dog,Medium,Male,Baby,null,null,Chihuahua
69760925,Kiya,Dog,Large,Female,Adult,null,null,Mixed Breed
69760921,Buddy,Dog,Large,Male,Adult,null,null,Hound
69760920,Pixie,Dog,Medium,Female,Baby,null,null,Pit Bull Terrier
69760919,Belkie,Dog,Small,Female,Baby,null,null,Pit Bull Terrier
69760906,Dutch,Dog,Small,Male,Adult,Brown / Chocolate,null,Chihuahua
69760918,BUBBA,Dog,Small,Male,Adult,null,null,French Bulldog
69760917,Lava Cake,Dog,Large,Male,Adult,null,null,Pit Bull Terrier
69760900,MILLIE,Dog,Medium,Female,Adult,null,null,Beagle
69760893,Kylia - IN FOSTER,Dog,Medium,Female,Adult,null,null,Mixed Breed
69760886,Asher,Dog,Large,Male,Adult,null,null,Pit Bull Terrier
69760876,Ace,Dog,Large,Male,Young,null,null,Catahoula Leopard Dog
69760866,Spade,Dog,Large,Female,Young,null,null,Catahoula Leopard Dog
69760873,Queen,Dog,Large,Female,Young,null,null,Catahoula Leopard Dog
69760869,Club,Dog,Large,Male,Young,null,null,Catahoula Leopard Dog
69760871,Heart,Dog,Large,Female,Young,null,null,Pit Bull Terrier
69760868,Diamond,Dog,Large,Female,Young,null,null,Pit Bull Terrier
69760872,King,Dog,Large,Male,Young,null,null,Pit Bull Terrier
69760865,Athos,Dog,Medium,Male,Young,null,null,Pit Bull Terrier
69760856,Torrijas,Dog,Small,Female,Adult,null,null,Chihuahua
69760857,Ares,Dog,Large,Male,Adult,null,null,Boxer
69760853,Ruthie,Dog,Medium,Female,Senior,Brindle,Bicolor,American Staffordshire Terrier
69760846,Goldie,Dog,Medium,Female,Baby,null,null,Pit Bull Terrier
69760847,Maya,Dog,Small,Female,Adult,Tricolor (Brown/ Black/ & White),null,West Highland White Terrier / Westie
69760848,Hans,Dog,Small,Male,Adult,Brown / Chocolate,null,Wire Fox Terrier
69760839,Tillie,Dog,Large,Female,Baby,Black,White / Cream,Mountain Dog
69760838,Dutch,Dog,Small,Male,Adult,Brown / Chocolate,null,Chihuahua
69760183,Dutch,Dog,Small,Male,Adult,Brown / Chocolate,null,Chihuahua
69760834,Zuri,Dog,Large,Female,Baby,Black,White / Cream,Border Collie
69760823,Thea (Photos 11/19/2023),Dog,Medium,Female,Adult,Brindle,null,Boxer
69760816,Rainey,Dog,Medium,Female,Adult,null,null,Siberian Husky
69760787,Mississippi River,Dog,Large,Female,Adult,Yellow / Tan / Blond / Fawn,Black,Vizsla
69760784,Brodie,Dog,Medium,Male,Adult,null,null,Pit Bull Terrier
69760782,Sandy,Dog,Medium,Female,Young,null,null,Pit Bull Terrier
69760781,Charlie JH,Dog,Medium,Male,Adult,Black,White / Cream,Pit Bull Terrier
69760778,AC #1220 "Princess",Dog,Small,Female,Baby,Black,White / Cream,Schnauzer
69760777,Stark,Dog,Medium,Male,Adult,Brown / Chocolate,White / Cream,Terrier
69760776,Hank,Dog,Medium,Male,Adult,Black,null,Mixed Breed
69760772,Marcia,Dog,Medium,Female,Baby,Brindle,null,Mixed Breed
69760769,Coal - tied up and abandoned,Dog,Large,Male,Adult,Black,null,Boxer
69760764,Alistair,Dog,Medium,Male,Young,Gray / Blue / Silver,null,American Staffordshire Terrier
69760755,Cupcake,Dog,Large,Female,Adult,Black,White / Cream,Pit Bull Terrier
69760751,Simba,Dog,Medium,Male,Young,null,null,Mixed Breed
69760748,Skip,Dog,Medium,Male,Young,null,null,Australian Cattle Dog / Blue Heeler
69760744,Munchkin,Dog,Medium,Male,Young,Apricot / Beige,Yellow / Tan / Blond / Fawn,American Staffordshire Terrier
69760743,Brody,Dog,Medium,Male,Adult,Tricolor (Brown/ Black/ & White),null,Beagle
69760739,Dakota,Dog,Large,Female,Baby,Brown / Chocolate,null,German Shepherd Dog
69760737,Hunter,Dog,Large,Male,Baby,White / Cream,null,Pit Bull Terrier
